iddraft,message,pseudo
1,"The quick brown fox jumps over the lazy dog.",quirfy29
2,"A journey of a thousand miles begins with a single step.",smithjane
3,"Life is what happens when you're busy making other plans.",mikej09
4,"To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.",lindawil
5,"In the middle of every difficulty lies opportunity.",brown_55
6,"Success usually comes to those who are too busy to be looking for it.",susie88
7,"Do not watch the clock. Do what it does. Keep going.",furyjams
8,"The future belongs to those who believe in the beauty of their dreams.",maryd8
9,"The best way to predict the future is to invent it.",m_mart
10,"Don’t count the days, make the days count.",pattie23
11,"You miss 100% of the shots you don’t take.",david34mo
12,"Life is really simple, but we insist on making it complicated.",barbwhite
13,"The only limit to our realization of tomorrow will be our doubts of today.",richeatay
14,"The way to get started is to quit talking and begin doing.",karenanna
15,"It always seems impossible until it’s done.",joseph56t
16,"What lies behind us and what lies before us are tiny matters compared to what lies within us.",nancyj10
17,"Do what you can, with what you have, where you are.",charlttc
18,"A man who dares to waste one hour of time has not discovered the value of life.",lisa_lh
19,"Happiness is not something ready made. It comes from your own actions.",cmartinez
20,"Don’t wait. The time will never be just right.",clarks
21,"Everything you’ve ever wanted is on the other side of fear.",danl33
22,"Dream big and dare to fail.",walkerem
23,"What you get by achieving your goals is not as important as what you become by achieving your goals.",phall92
24,"Do not go where the path may lead, go instead where there is no path and leave a trail.",keviny25
25,"The purpose of our lives is to be happy.",dhernz
26,"In order to write about life first you must live it.",markkings
27,"Turn your wounds into wisdom.",mwright45
28,"The mind is everything. What you think you become.",donaldlop
29,"Keep smiling, because life is a beautiful thing and there’s so much to smile about.",kennysco
30,"Life is short, and it is up to you to make it sweet.",jadamsk
31,"Success is not the key to happiness. Happiness is the key to success.",brianb7
32,"Believe you can and you're halfway there.",georgem15
33,"Life is ten percent what happens to us and ninety percent how we respond to it.",laurarobs
34,"Your time is limited, so don’t waste it living someone else’s life.",edp23
35,"Life itself is the most wonderful fairy tale.",rebcam99