1,"The quick brown fox jumps over the lazy dog. #adventure #nature",2024-03-15,,,"quirfy29"
2,"Un petit pas pour l'homme, un grand pas pour l'humanité. #espace",2024-07-22,,,"smithjane"
3,"Caminante, no hay camino, se hace camino al andar. #cultura",2024-01-19,"RoomA","BuildingX","mikej09"
4,"Ein kleiner Schritt für einen Menschen, ein riesiger Sprung für die Menschheit.",2024-04-05,"RoomB",,"lindawil"
5,"La vita è bella! #amore #famiglia",2024-08-18,,,"brown_55"
6,"Exploring the wonders of the universe. #science",2024-06-30,,"BuildingY","susie88"
7,"Voyagez à travers le temps et l'espace. #aventure #exploration",2024-09-09,"RoomC","BuildingZ","furyjams"
8,"Das Leben ist wie ein Fahrrad. Du musst in Bewegung bleiben, um die Balance zu halten.",2024-11-22,,,"maryd8"
9,"Amor omnia vincit. #philosophia",2024-12-01,,,"m_mart"
10,"La curiosité est le moteur de la connaissance. #éducation",2024-10-15,"RoomD",,"pattie23"
11,"A smooth sea never made a skilled sailor. #motivation",2024-02-28,,,"david34mo"
12,"La patience est la clé du succès. #citation",2024-05-12,,"BuildingA","barbwhite"
13,"Les étoiles nous guident dans l'obscurité. #espace #philosophie",2024-03-30,"RoomE","BuildingB","richeatay"
14,"Viaggio alla scoperta di nuovi orizzonti. #viaggi",2024-06-17,,,"karenanna"
15,"Der Mensch ist, was er isst. #gesundeErnährung",2024-09-25,,,"joseph56t"
20,"Il futuro appartiene a coloro che credono nella bellezza dei propri sogni. #inspirazione",2024-12-12,,"BuildingC","nancyj10"
21,"Through hardships to the stars. #inspiration #dreams",2024-03-05,"RoomF",,"charlttc"
22,"Le bonheur n'est réel que lorsqu'il est partagé. #amitié",2024-07-10,,,"lisa_lh"
23,"Nada te turbe, nada te espante. #fé #esperanza",2024-11-02,,,"cmartinez"
24,"Leben ist, was passiert, während du beschäftigt bist, andere Pläne zu machen.",2024-08-08,"RoomG","BuildingD","clarks"
25,"Ogni nuovo giorno è un'opportunità. #speranza",2024-06-04,,"BuildingE","danl33"
26,"The best way to predict the future is to create it. #innovation",2024-01-21,"RoomH",,"walkerem"
27,"Un instant de calme dans un monde de chaos. #réflexion",2024-04-11,,,"phall92"
28,"Siempre hay luz detrás de las nubes. #esperanza",2024-02-16,,"BuildingF","angieall"
29,"La vie est belle quand on sait la regarder. #positivité",2024-05-27,,,"keviny25"
30,"Jedes Ende ist ein neuer Anfang. #leben",2024-12-07,,,"dhernz"
31,"Viva la vida y no dejes de soñar. #sueños",2024-03-19,"RoomI",,"markkings"
32,"L'éducation est l'arme la plus puissante pour changer le monde. #savoir",2024-09-14,,"BuildingG","mwright45"
33,"Fai quello che ami e non lavorerai un solo giorno della tua vita.",2024-10-20,"RoomJ","BuildingH","donaldlop"
34,"The journey of a thousand miles begins with a single step. #adventure",2024-08-01,,,"dorohills"
35,"La simplicité est la sophistication suprême. #design",2024-06-25,,,"kennysco"
36,"Cada día es una nueva oportunidad para ser feliz. #vida",2024-07-19,"RoomK",,"jgreen77"
37,"L'espoir fait vivre. #espoir",2024-04-24,,"BuildingI","jadamsk"
38,"Man soll die Feste feiern, wie sie fallen.",2024-05-30,"RoomL","BuildingJ","shirlnelson"
39,"Das Leben ist wie ein Puzzle. Manchmal fehlen Teile. #nachdenken",2024-12-10,,,"brianb7"
40,"Les rêves sont faits pour être réalisés. #rêves",2024-11-25,,,"cynthia55"